ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
btn,,btn,btn.btn_1.Light,721.317474,,243,Unit,42,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
btn,,btn,btn.btn_2.Light,721.317474,,243,Unit,200,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
mmal,,mmal,mmal.mmal_1.Heavy,726.957444,,121,Unit,58,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
mmal,,mmal,mmal.mmal_1.Light,726.7862712,,117,Unit,55,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
mmal,,mmal,mmal.mmal_2.Light,726.7862712,,117,Unit,73,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
succ,,succ,succ.succ_1.Heavy,727.0498998,,121,Unit,103,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
succ,,succ,succ.succ_1.Light,722.6145264,,117.001,Unit,99,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
succ,,succ,succ.succ_2.Light,722.6145264,,117.001,Unit,73,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
mal-L,,mal-L,mal-L.mal-L_1.Heavy,741.239157,,137,Unit,119,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
mal-L,,mal-L,mal-L.mal-L_1.Light,740.8148676,,133,Unit,115,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glutacon,,glutacon,glutacon.glutacon_1.Heavy,747.4532994,,134,Unit,89,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glutacon,,glutacon,glutacon.glutacon_1.Light,765.5946648,,129,Unit,85,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
fum,,fum,fum.fum_1.Heavy,740.6893992,,119,Unit,74,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
fum,,fum,fum.fum_1.Light,742.0727118,,115,Unit,71,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
udpg,,udpg,udpg.udpg_1.Heavy,743.5422054,,580.0503,Unit,247.0201,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
udpg,,udpg,udpg.udpg_1.Light,743.6493468,,565,Unit,241,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
udpg,,udpg,udpg.udpg_2.Light,743.6493468,,565,Unit,323,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
damp,,damp,damp.damp_1.Heavy,745.4931588,,340,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
damp,,damp,damp.damp_1.Light,745.9013796,,330,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
damp,,damp,damp.damp_2.Light,745.9013796,,330,Unit,134,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
oxa,,oxa,oxa.oxa_1.Heavy,773.4099582,,91,Unit,63,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
oxa,,oxa,oxa.oxa_1.Light,773.4099582,,89.001,Unit,61,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
oxa,,oxa,oxa.oxa_2.Light,773.4099582,,89.001,Unit,45,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
actp,,actp,actp.actp_1.Heavy,758.9081676,,141,Unit,63,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
actp,,actp,actp.actp_1.Light,758.9081676,,139,Unit,63,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
actp,,actp,actp.actp_2.Light,758.9081676,,139,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
akg,,akg,akg.akg_1.Heavy,772.9556214,,150,Unit,105,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
akg,,akg,akg.akg_1.Light,772.9652604,,145.098,Unit,101,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
oaa,,oaa,oaa.oaa_1.Heavy,782.2641312,,135,Unit,90,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
oaa,,oaa,oaa.oaa_1.Light,782.5896594,,131,Unit,87,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dtdpglu,,dtdpglu,dtdpglu.dtdpglu_1.Heavy,798.2194902,,579,Unit,331,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dtdpglu,,dtdpglu,dtdpglu.dtdpglu_1.Light,798.2194902,,563,Unit,321,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dtdpglu,,dtdpglu,dtdpglu.dtdpglu_2.Light,798.2194902,,563,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
nadh,,nadh,nadh.nadh_1.Heavy,829.5453972,,685,Unit,418,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
