File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/151.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	50 ug/ml ISO
Injection Number	89
Position	RC8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:30:13 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.190596
Signal Max.	37.073029
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.210000	0.200	-0.420496
1.213333	0.200	-0.307408
1.216667	0.200	-0.156061
1.220000	0.200	0.007440
1.223333	0.200	0.151022
1.226667	0.200	0.244230
1.230000	0.200	0.266547
1.233333	0.200	0.212806
1.236667	0.200	0.093726
1.240000	0.200	-0.068371
1.243333	0.200	-0.247342
1.246667	0.200	-0.420848
1.250000	0.200	-0.573828
1.253333	0.200	-0.698044
1.256667	0.200	-0.790841
1.260000	0.200	-0.853657
1.263333	0.200	-0.887026
1.266667	0.200	-0.876133
1.270000	0.200	-0.762916
1.273333	0.200	-0.423370
1.276667	0.200	0.302059
1.280000	0.200	1.504868
1.283333	0.200	3.097818
1.286667	0.200	4.800029
1.290000	0.200	6.246547
1.293333	0.200	7.147609
1.296667	0.200	7.395380
1.300000	0.200	7.070702
1.303333	0.200	6.372492
1.306667	0.200	5.524301
1.310000	0.200	4.702765
1.313333	0.200	4.006212
1.316667	0.200	3.459531
1.320000	0.200	3.039558
1.323333	0.200	2.703842
1.326667	0.200	2.411680
1.330000	0.200	2.134514
1.333333	0.200	1.858208
1.336667	0.200	1.580421
1.340000	0.200	1.305724
1.343333	0.200	1.041020
1.346667	0.200	0.792331
1.350000	0.200	0.563071
1.353333	0.200	0.354348
1.356667	0.200	0.166416
1.360000	0.200	-0.000816
1.363333	0.200	-0.148398
1.366667	0.200	-0.278512
1.370000	0.200	-0.393570
1.373333	0.200	-0.495208
1.376667	0.200	-0.584177
1.380000	0.200	-0.660949
1.383333	0.200	-0.726302
1.386667	0.200	-0.781458
1.390000	0.200	-0.827834
1.393333	0.200	-0.866966
1.396667	0.200	-0.900613
1.400000	0.200	-0.930386
1.403333	0.200	-0.957026
1.406667	0.200	-0.980194
1.410000	0.200	-0.999288
1.413333	0.200	-1.014534
1.416667	0.200	-1.027094
1.420000	0.200	-1.038191
1.423333	0.200	-1.048378
1.426667	0.200	-1.057755
1.430000	0.200	-1.066562
1.433333	0.200	-1.075102
1.436667	0.200	-1.083607
1.440000	0.200	-1.092487
1.443333	0.200	-1.102087
1.446667	0.200	-1.112196
1.450000	0.200	-1.122262
1.453333	0.200	-1.131718
1.456667	0.200	-1.139853
1.460000	0.200	-1.145943
1.463333	0.200	-1.149659
1.466667	0.200	-1.151161
1.470000	0.200	-1.150912
1.473333	0.200	-1.149549
1.476667	0.200	-1.147774
1.480000	0.200	-1.145934
1.483333	0.200	-1.143725
1.486667	0.200	-1.140613
1.490000	0.200	-1.136502
1.493333	0.200	-1.131859
1.496667	0.200	-1.127283
1.500000	0.200	-1.123065
