ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
HMDB:HMDB0000128,,HMDB:HMDB0000128,,0,,117.0538265,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000738,,HMDB:HMDB0000738,,0,,117.0578492,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000043,,HMDB:HMDB0000043,,0,,117.0789786,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0033971,,HMDB:HMDB0033971,,0,,117.1153641,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0029596,,HMDB:HMDB0029596,,0,,117.9143832,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031522,,HMDB:HMDB0031522,,0,,117.9902232,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0039786,,HMDB:HMDB0039786,,0,,118.0088501,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000202,,HMDB:HMDB0000202,,0,,118.0266087,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0030968,,HMDB:HMDB0030968,,0,,118.0418648,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031191,,HMDB:HMDB0031191,,0,,118.0452356,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0033576,,HMDB:HMDB0033576,,0,,118.0530982,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000351,,HMDB:HMDB0000351,,0,,118.0629942,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
